2026-07-29 18:50:52.964 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:50:54.574 | INFO | FUTU_US | [FUTU_US] 合约查询完成: 20577 个
2026-07-29 18:50:54.576 | INFO | FUTU_US | [FUTU_US] 合约样本: ['1061.SMART', '2578256D.SMART', '2618996D.SMART', '55272X706.SMART', 'A.SMART', 'AA.SMART', 'AABB.SMART', 'AAC.U.SMART', 'AACAY.SMART', 'AACB.SMART']
2026-07-29 18:50:54.598 | INFO | FUTU_US | [FUTU_US] 查询成交失败: 模拟交易不支持成交数据
2026-07-29 18:50:54.618 | INFO | FUTU_US | [FUTU_US] 调试 accinfo 字段: ['power', 'max_power_short', 'net_cash_power', 'total_assets', 'securities_assets', 'fund_assets', 'bond_assets', 'cash', 'market_val', 'long_mv', 'short_mv', 'pending_asset', 'interest_charged_amount', 'frozen_cash', 'avl_withdrawal_cash', 'max_withdrawal', 'currency', 'available_funds', 'unrealized_pl', 'realized_pl', 'risk_level', 'risk_status', 'initial_margin', 'margin_call_margin', 'maintenance_margin', 'hk_cash', 'hk_avl_withdrawal_cash', 'hkd_net_cash_power', 'hkd_assets', 'us_cash', 'us_avl_withdrawal_cash', 'usd_net_cash_power', 'usd_assets', 'cn_cash', 'cn_avl_withdrawal_cash', 'cnh_net_cash_power', 'cnh_assets', 'jp_cash', 'jp_avl_withdrawal_cash', 'jpy_net_cash_power', 'jpy_assets', 'sg_cash', 'sg_avl_withdrawal_cash', 'sgd_net_cash_power', 'sgd_assets', 'au_cash', 'au_avl_withdrawal_cash', 'aud_net_cash_power', 'aud_assets', 'ca_cash', 'ca_avl_withdrawal_cash', 'cad_net_cash_power', 'cad_assets', 'my_cash', 'my_avl_withdrawal_cash', 'myr_net_cash_power', 'myr_assets', 'is_pdt', 'pdt_seq', 'beginning_dtbp', 'remaining_dtbp', 'dt_call_amount', 'dt_status']
2026-07-29 18:50:54.618 | INFO | FUTU_US | [FUTU_US] 调试 accinfo 首行: {'power': 19996057.82, 'max_power_short': 'N/A', 'net_cash_power': 'N/A', 'total_assets': 9999999.81, 'securities_assets': 9999999.81, 'fund_assets': 'N/A', 'bond_assets': 'N/A', 'cash': 9996058.01, 'market_val': 3941.8, 'long_mv': 3941.8, 'short_mv': 0.0, 'pending_asset': 'N/A', 'interest_charged_amount': 0.0, 'frozen_cash': 0.0, 'avl_withdrawal_cash': 0.0, 'max_withdrawal': 'N/A', 'currency': 'N/A', 'available_funds': 'N/A', 'unrealized_pl': 'N/A', 'realized_pl': 'N/A', 'risk_level': 'N/A', 'risk_status': 'N/A', 'initial_margin': 'N/A', 'margin_call_margin': 'N/A', 'maintenance_margin': 1576.72, 'hk_cash': 'N/A', 'hk_avl_withdrawal_cash': 'N/A', 'hkd_net_cash_power': 'N/A', 'hkd_assets': 'N/A', 'us_cash': 9996058.01, 'us_avl_withdrawal_cash': 0.0, 'usd_net_cash_power': 'N/A', 'usd_assets': 'N/A', 'cn_cash': 'N/A', 'cn_avl_withdrawal_cash': 'N/A', 'cnh_net_cash_power': 'N/A', 'cnh_assets': 'N/A', 'jp_cash': 'N/A', 'jp_avl_withdrawal_cash': 'N/A', 'jpy_net_cash_power': 'N/A', 'jpy_assets': 'N/A', 'sg_cash': 'N/A', 'sg_avl_withdrawal_cash': 'N/A', 'sgd_net_cash_power': 'N/A', 'sgd_assets': 'N/A', 'au_cash': 'N/A', 'au_avl_withdrawal_cash': 'N/A', 'aud_net_cash_power': 'N/A', 'aud_assets': 'N/A', 'ca_cash': 'N/A', 'ca_avl_withdrawal_cash': 'N/A', 'cad_net_cash_power': 'N/A', 'cad_assets': 'N/A', 'my_cash': 'N/A', 'my_avl_withdrawal_cash': 'N/A', 'myr_net_cash_power': 'N/A', 'myr_assets': 'N/A', 'is_pdt': 'N/A', 'pdt_seq': 'N/A', 'beginning_dtbp': 'N/A', 'remaining_dtbp': 'N/A', 'dt_call_amount': 'N/A', 'dt_status': 'N/A'}
2026-07-29 18:50:54.619 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:50:55.326 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:50:56.101 | INFO | MainEngine | 订阅行情 -> FUTU_US：SubscribeRequest(symbol='NFLX', exchange=<Exchange.SMART: 'SMART'>)
2026-07-29 18:50:56.138 | INFO | FUTU_US | [FUTU_US] ✅ 全套订阅成功: US.NFLX (QUOTE+OB+K_1M+5M+15M+60M)
2026-07-29 18:50:56.140 | INFO | MainEngine | 订阅行情 -> FUTU_US：SubscribeRequest(symbol='BABA', exchange=<Exchange.SMART: 'SMART'>)
2026-07-29 18:50:56.182 | INFO | FUTU_US | [FUTU_US] ✅ 全套订阅成功: US.BABA (QUOTE+OB+K_1M+5M+15M+60M)
2026-07-29 18:50:56.183 | INFO | MainEngine | 订阅行情 -> FUTU_US：SubscribeRequest(symbol='AAPL', exchange=<Exchange.SMART: 'SMART'>)
2026-07-29 18:50:56.220 | INFO | FUTU_US | [FUTU_US] ✅ 全套订阅成功: US.AAPL (QUOTE+OB+K_1M+5M+15M+60M)
2026-07-29 18:50:56.222 | INFO | MainEngine | 订阅行情 -> FUTU_US：SubscribeRequest(symbol='MSFT', exchange=<Exchange.SMART: 'SMART'>)
2026-07-29 18:50:56.262 | INFO | FUTU_US | [FUTU_US] ✅ 全套订阅成功: US.MSFT (QUOTE+OB+K_1M+5M+15M+60M)
2026-07-29 18:50:56.264 | INFO | MainEngine | 订阅行情 -> FUTU_US：SubscribeRequest(symbol='GOOGL', exchange=<Exchange.SMART: 'SMART'>)
2026-07-29 18:50:56.292 | INFO | FUTU_US | [FUTU_US] ✅ 全套订阅成功: US.GOOGL (QUOTE+OB+K_1M+5M+15M+60M)
2026-07-29 18:50:57.145 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:01.332 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:03.151 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:07.333 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:09.157 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:13.336 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:15.157 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:19.341 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:21.157 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:25.342 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:27.163 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:31.349 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:33.175 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:37.438 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:39.242 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:43.627 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:45.248 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:49.627 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:51.249 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:51:55.629 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:51:57.256 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,999.81 现金=$9,996,058.01 证券市值=$3,941.80 冻结=$0.00 购买力=$19,996,057.82 (USD)
2026-07-29 18:52:01.628 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:03.267 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:07.800 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:09.260 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:13.809 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:15.268 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:19.818 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:21.267 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:25.809 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:27.272 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:31.812 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
